year,month,day,hour,weekday,USD_buy,USD_sell,HKD_buy,HKD_sell,GBP_buy,GBP_sell,AUD_buy,AUD_sell,CAD_buy,CAD_sell,SGD_buy,SGD_sell,CHF_buy,CHF_sell,JPY_buy,JPY_sell,ZAR_buy,ZAR_sell,SEK_buy,SEK_sell,NZD_buy,NZD_sell,THB_buy,THB_sell,PHP_buy,PHP_sell,IDR_buy,IDR_sell,EUR_buy,EUR_sell,KRW_buy,KRW_sell,VND_buy,VND_sell,MYR_buy,MYR_sell,CNY_buy,CNY_sell
2025,1,1,1,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.85,41.97,39.85,41.97,19.91,20.69,19.91,20.69,22.32,23.23,22.32,23.23,23.44,24.35,23.44,24.35,35.34,36.54,35.34,36.54,0.1993,0.2121,0.1993,0.2121,0,0,0,0,0,0
2025,1,1,2,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,3,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,4,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,5,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,6,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,7,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,8,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,9,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
2025,1,1,10,2,32.385,33.055,32.385,33.055,4.065,4.269,4.065,4.269,39.87,41.99,39.87,41.99,19.9,20.68,19.9,20.68,22.31,23.22,22.31,23.22,23.44,24.35,23.44,24.35,35.33,36.53,35.33,36.53,0.1998,0.2126,0.1998,0.2126,0,0,0,0,0,0
